Suburb,Type,SellerG,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Latitude,Longtitude,Price
West Melbourne,u,Nelson,3003,1,1,1,0,207,1930,-37.8076,144.9456,550000
West Melbourne,h,Alexkarbon,3003,2,3,2,506,195,2000,-37.805,144.9448,1260000
West Melbourne,h,Alexkarbon,3003,4,2,1,214,169,1890,-37.80712,144.94832,2371000
West Melbourne,t,Jellis,3003,2,1,1,0,154,2009,-37.8094,144.9452,1055000
West Melbourne,u,Alexkarbon,3003,3,1,1,0,153,1940,-37.8076,144.9474,995000
West Melbourne,t,Jellis,3003,3,3,2,0,132,1940,-37.8048,144.9424,1010000
West Melbourne,t,Alexkarbon,3003,2,2,1,0,130,2010,-37.8094,144.9452,1013000
West Melbourne,h,Collins,3003,4,1,1,133,124,1880,-37.80814,144.94506,1230000
West Melbourne,t,Jellis,3003,3,3,1,801,122,2008,-37.8067,144.9435,1120000
West Melbourne,u,hockingstuart,3003,3,2,1,0,100,1998,-37.8118,144.9526,660000
West Melbourne,u,Nelson,3003,2,1,1,0,91,1993,-37.80848,144.9437,660000
West Melbourne,u,MICM,3003,2,1,1,17,90,1996,-37.8118,144.95259,670000
West Melbourne,t,Nelson,3003,2,2,2,54,89,2006,-37.8094,144.9479,800000
West Melbourne,u,Jellis,3003,2,1,1,0,83,2002,-37.8091,144.952,620000
West Melbourne,u,MICM,3003,2,1,1,0,81,1996,-37.8118,144.9526,601000
West Melbourne,u,McGrath,3003,2,1,1,75,66,2007,-37.80473,144.9435,510000
West Melbourne,u,Nelson,3003,1,1,1,0,62,1930,-37.8076,144.9456,482000
West Melbourne,u,Nelson,3003,1,1,1,547,58,1900,-37.806,144.942,443000
West Melbourne,u,Nelson,3003,1,1,1,0,52,2000,-37.8076,144.9456,460000
Southbank,u,Kay,3006,4,3,1,0,176,2000,-37.8267,144.9687,1250000
Southbank,u,Ray,3006,4,3,1,0,172,1995,-37.8267,144.9687,990000
Southbank,u,Greg,3006,3,2,1,0,114,1995,-37.8267,144.9687,868000
Southbank,u,Marshall,3006,2,2,1,0,110,2000,-37.8273,144.9556,650000
Southbank,u,VICPROP,3006,3,1,1,0,106,1993,-37.8235,144.9655,720000
Southbank,u,Greg,3006,3,2,1,0,105,1994,-37.828,144.9683,740000
Southbank,u,Ray,3006,2,2,1,0,100,2000,-37.8227,144.9664,592500
Southbank,u,Greg,3006,2,2,1,0,99,1995,-37.828,144.9683,600000
Southbank,u,Dingle,3006,2,2,1,0,93,1994,-37.822,144.9637,540000
Southbank,u,Greg,3006,2,1,1,0,84,2003,-37.8246,144.9632,530000
Southbank,u,hockingstuart,3006,2,1,1,3634,80,1993,-37.8281,144.96627,600000
Southbank,u,MICM,3006,2,1,1,0,79,1995,-37.8273,144.9685,580000
Southbank,u,Greg,3006,2,1,1,8888,77,1994,-37.82481,144.96669,642500
Southbank,u,RT,3006,2,1,1,0,77,2000,-37.8288,144.9679,660000
Southbank,u,RT,3006,2,1,1,0,75,1998,-37.8288,144.9679,595000
Southbank,u,Marshall,3006,2,2,2,0,73,2014,-37.8229,144.9612,800000
Southbank,u,Greg,3006,1,1,0,760,70,2007,-37.8228,144.9661,455000
Southbank,u,William,3006,2,1,1,0,70,1994,-37.8248,144.9667,580000
Southbank,u,hockingstuart,3006,2,2,1,2955,67,2013,-37.8299,144.9679,622500
Southbank,u,Greg,3006,1,1,1,0,57,2004,-37.8245,144.9622,425000
Southbank,u,MICM,3006,1,1,1,63,51,2010,-37.83014,144.96967,422000
Southbank,u,Dingle,3006,1,1,1,546,51,2000,-37.8274,144.9587,370000
Footscray,h,Ray,3011,2,1,2,274,275,2000,-37.7939,144.8846,716000
Footscray,h,Greg,3011,4,2,1,593,238,1910,-37.79363,144.89427,1450000
Footscray,h,Burnham,3011,3,2,2,322,228,1980,-37.7963,144.8862,860500
Seddon,h,Jas,3011,5,3,1,386,218,1890,-37.8078,144.8846,1275000
Seddon,h,Jas,3011,3,3,2,227,211,2015,-37.8033,144.8897,1325000
Seddon,h,Village,3011,3,3,2,227,211,2015,-37.8033,144.8897,1350000
Seddon,h,Village,3011,3,1,1,297,211,1920,-37.80828,144.8856,1085000
Footscray,h,Nelson,3011,4,2,1,180,206,1994,-37.79686,144.908,1000000
Seddon,h,Sweeney,3011,4,3,1,934,199,2014,-37.80898,144.88701,1502000
Seddon,h,Jas,3011,4,2,3,571,198,1920,-37.809,144.8865,1455000
Footscray,h,hockingstuart,3011,4,2,3,0,190,1950,-37.7923,144.8848,1300000
Seddon,h,Sweeney,3011,3,3,2,168,187,2012,-37.8066,144.887,1330000
Footscray,t,Jas,3011,3,2,2,112,168,2010,-37.8001,144.8797,735000
Footscray,h,Village,3011,4,2,1,154,161,2007,-37.7983,144.8911,977000
Footscray,t,Jellis,3011,4,2,2,250,160,2000,-37.7959,144.8989,841000
Footscray,h,Village,3011,4,1,1,799,160,1910,-37.7958,144.9001,1450000
Seddon,h,Village,3011,4,2,1,299,158,1910,-37.8087,144.8952,1201000
Footscray,h,Village,3011,3,2,0,497,156,1890,-37.7958,144.9024,1362000
Seddon,h,Jas,3011,3,1,2,467,155,1946,-37.8093,144.8941,1395000
Seddon,h,Jas,3011,3,2,2,193,154,2000,-37.8065,144.8866,875000
Footscray,h,GL,3011,3,2,2,196,154,2006,-37.7987,144.9034,980000
Footscray,h,Biggin,3011,4,2,1,369,151,1910,-37.7914,144.8957,815000
Seddon,h,Jas,3011,3,1,1,352,150,1890,-37.8059,144.8899,1270000
Seddon,h,Jas,3011,3,2,1,309,149,1910,-37.807,144.898,920000
Footscray,h,Jellis,3011,3,2,2,162,143,2015,-37.8007,144.88207,860000
Footscray,h,Village,3011,3,1,1,0,141,2010,-37.7962,144.8851,853000
Seddon,h,Jas,3011,3,2,1,306,140,1900,-37.8038,144.8896,1075000
Seddon,h,Village,3011,3,1,0,224,136,1900,-37.8067,144.8934,1032000
Seddon,h,Jas,3011,3,1,0,371,134,1910,-37.8066,144.8853,990000
Footscray,h,Jellis,3011,4,1,4,594,134,1900,-37.7971,144.9008,1420000
Seddon,h,Jas,3011,3,2,2,0,132,2000,-37.8057,144.8857,920000
Footscray,h,Nelson,3011,4,2,1,319,130,1915,-37.7943,144.8875,1225000
Footscray,h,Jas,3011,2,1,1,451,130,1910,-37.8023,144.8915,932000
Footscray,h,Nelson,3011,4,2,1,319,130,1915,-37.7943,144.8875,1225000
Footscray,h,Jas,3011,3,1,2,323,129,1900,-37.7935,144.8893,780000
Seddon,t,Greg,3011,2,1,1,126,127,2011,-37.8045,144.8898,720000
Seddon,h,Jas,3011,2,2,1,149,127,1920,-37.8047,144.8948,970000
Footscray,t,Raine,3011,4,2,2,0,126,2015,-37.7905,144.8882,699000
Seddon,h,Jas,3011,3,1,0,216,125,1890,-37.8052,144.8941,880000
Seddon,h,Biggin,3011,3,1,0,198,124,1910,-37.80779,144.88887,1180000
Footscray,h,hockingstuart,3011,2,1,2,353,123,1930,-37.79047,144.88289,800000
Footscray,h,Burnham,3011,3,1,3,585,120,1950,-37.7941,144.8924,1155000
Footscray,h,Jas,3011,3,1,1,246,120,1940,-37.8012,144.8924,747000
Footscray,h,Village,3011,3,1,1,361,118,1940,-37.7913,144.8879,910000
Seddon,h,Burnham,3011,3,1,1,350,116,1890,-37.8094,144.8869,1145000
Footscray,h,Biggin,3011,3,1,1,265,115,1910,-37.7975,144.8894,760000
Footscray,t,Jas,3011,3,1,1,125,113,2000,-37.7922,144.8831,699000
Seddon,h,Biggin,3011,2,2,1,228,111,1930,-37.8034,144.8855,822500
Seddon,h,Village,3011,3,1,0,234,111,1900,-37.8051,144.8858,1080000
Footscray,u,McGrath,3011,2,1,1,1909,110,2007,-37.79919,144.89607,430000
Footscray,h,hockingstuart,3011,3,1,2,334,110,1920,-37.7977,144.90398,755000
Footscray,h,Jas,3011,2,1,1,222,109,1920,-37.7962,144.8844,835000
Footscray,h,Sweeney,3011,2,1,0,258,108,1900,-37.7959,144.8901,757500
Footscray,h,Jas,3011,3,1,0,219,107,1900,-37.79732,144.8848,945000
Footscray,h,Jas,3011,3,2,2,204,106,1990,-37.8012,144.8921,876000
Footscray,h,Village,3011,2,1,1,318,106,1910,-37.79529,144.88453,991000
Footscray,h,Sweeney,3011,3,1,3,312,106,1880,-37.79334,144.89128,900000
Footscray,h,Burnham,3011,3,1,2,272,106,1920,-37.7977,144.904,895000
Footscray,h,Douglas,3011,2,1,2,231,105,1940,-37.79612,144.88783,868000
Seddon,h,Jas,3011,3,1,0,217,104,1910,-37.8037,144.8874,965000
Footscray,h,Sweeney,3011,2,1,1,184,103,1900,-37.7988,144.902,1170000
Seddon,h,Jas,3011,2,1,0,203,103,1930,-37.80786,144.88936,1170000
Footscray,h,Jas,3011,4,1,2,388,102,1920,-37.79419,144.89618,850000
Footscray,t,Jas,3011,3,2,2,102,102,2011,-37.7987,144.8807,757000
Footscray,h,Sweeney,3011,4,1,3,446,101.7,1920,-37.79221,144.89076,891000
Footscray,h,Greg,3011,3,1,1,267,101,1900,-37.7951,144.8901,871000
Footscray,h,Jas,3011,3,1,0,240,101,1930,-37.79392,144.88418,931000
Footscray,h,Jas,3011,2,1,0,267,99.5,1890,-37.7961,144.89,885000
Footscray,h,Sweeney,3011,3,1,1,242,99,1920,-37.7956,144.8848,775000
Footscray,h,Village,3011,3,1,0,190,99,1930,-37.795,144.883,850000
Footscray,h,Naison,3011,3,1,1,292,98,1900,-37.797,144.9051,1003000
Seddon,h,Jas,3011,3,1,0,137,98,1890,-37.8078,144.8972,970000
Footscray,h,Jas,3011,2,1,0,215,98,1910,-37.7922,144.891,752000
Footscray,h,Rendina,3011,2,1,1,212,98,1900,-37.7903,144.8879,690500
Footscray,h,Sweeney,3011,3,2,0,458,98,1930,-37.7942,144.8832,767500
Footscray,h,Gunn&Co,3011,4,1,2,403,97,1900,-37.79758,144.90246,1225000
Seddon,h,Jas,3011,3,1,0,213,97,1900,-37.80563,144.89352,1020000
Footscray,t,Nelson,3011,2,2,1,88,94.5,2000,-37.78872,144.88891,575000
Footscray,h,Sweeney,3011,2,1,1,320,94,1900,-37.7964,144.8871,747000
Footscray,h,Jas,3011,3,1,1,211,94,1910,-37.8059,144.901,740000
Seddon,h,Jellis,3011,2,1,0,207,94,1910,-37.8071,144.88912,940000
Footscray,h,Sweeney,3011,3,1,0,164,93,1900,-37.7959,144.8863,840000
Footscray,h,Jas,3011,2,1,1,313,93,1915,-37.7966,144.9016,858000
Footscray,h,Burnham,3011,2,1,2,657,92,1940,-37.7909,144.8884,950000
Seddon,h,Sweeney,3011,2,1,1,223,92,1910,-37.80543,144.89691,1067000
Seddon,h,hockingstuart,3011,3,1,0,436,92,1910,-37.80868,144.88483,1010000
Seddon,h,Village,3011,2,1,1,152,91,1910,-37.80697,144.8928,850000
Footscray,h,Jas,3011,2,1,1,241,91,1915,-37.79583,144.89406,942000
Seddon,h,Village,3011,2,1,1,152,91,1910,-37.80697,144.8928,830000
Footscray,u,Nelson,3011,3,1,1,0,90,1985,-37.7949,144.9007,480000
Footscray,h,Jas,3011,2,1,2,253,90,1910,-37.7968,144.8887,711000
Seddon,h,hockingstuart,3011,2,1,0,298,88,1900,-37.80257,144.88811,680000
Footscray,h,Sweeney,3011,2,1,2,277,87,1890,-37.7901,144.8883,775000
Footscray,u,Jas,3011,2,1,3,2794,87,2000,-37.8044,144.9064,605000
Footscray,t,Biggin,3011,2,1,1,43,86,2010,-37.78822,144.88361,455000
Footscray,h,Sweeney,3011,2,1,1,132,83,1970,-37.7946,144.8903,661000
Seddon,h,Chisholm,3011,2,1,0,172,81,1900,-37.81,144.8896,815000
Seddon,h,Village,3011,2,1,0,269,80,1900,-37.8026,144.8882,665000
Footscray,t,Rendina,3011,2,2,1,65,80,2014,-37.7881,144.8838,410000
Footscray,h,Village,3011,2,1,0,172,80,1900,-37.7936,144.8905,882000
Footscray,u,Greg,3011,2,2,1,0,79,2009,-37.8006,144.9053,395000
Footscray,u,hockingstuart,3011,2,2,1,0,78,2013,-37.8025,144.9073,571000
Seddon,h,Sweeney,3011,2,1,0,176,78,1914,-37.80898,144.8902,885000
Seddon,h,Sweeney,3011,2,1,2,328,77,2016,-37.80421,144.88637,807500
Footscray,t,Jas,3011,2,1,1,556,75,2010,-37.7919,144.8854,480000
Footscray,u,Village,3011,2,1,1,0,75,2010,-37.8042,144.9049,420000
Seddon,h,Thomson,3011,2,1,1,256,75,1900,-37.80389,144.88711,817000
Footscray,u,Sweeney,3011,2,1,1,0,75,2007,-37.7992,144.8961,370000
Footscray,u,C21,3011,2,1,1,882,74,1970,-37.7899,144.893,315000
Footscray,h,Village,3011,2,1,1,355,74,1890,-37.7931,144.8938,745000
Footscray,u,Sweeney,3011,2,1,1,0,73,1970,-37.79711,144.88825,395000
Seddon,h,Jas,3011,2,1,0,148,72,1912,-37.8084,144.8907,955000
Seddon,u,Sweeney,3011,2,1,1,0,71,1975,-37.8066,144.8971,355000
Footscray,t,Biggin,3011,2,2,1,0,70,2011,-37.7883,144.884,485000
Footscray,u,Burnham,3011,1,1,1,59,70,1965,-37.7903,144.8899,305000
Footscray,h,Burnham,3011,2,1,0,130,70,1920,-37.7988,144.9045,760000
Footscray,u,Gunn&Co,3011,2,1,1,0,69,1960,-37.7903,144.891,295000
Footscray,u,Jas,3011,2,1,1,0,66,2012,-37.8017,144.8957,433000
Seddon,u,Village,3011,2,1,2,0,65,1970,-37.8087,144.8978,450000
Footscray,u,Sweeney,3011,2,1,1,0,65,1980,-37.7891,144.8912,281000
Seddon,h,Village,3011,2,1,1,126,65,1890,-37.80473,144.89095,945000
Footscray,u,Jas,3011,2,1,1,0,62,2015,-37.79975,144.88368,455000
Seddon,u,Jas,3011,2,1,1,0,62,2012,-37.8042,144.892,533000
Footscray,u,Jas,3011,2,1,1,0,60,1960,-37.80474,144.9021,370000
Footscray,u,Burnham,3011,2,1,1,0,55,1960,-37.789,144.8932,316000
Footscray,u,Burnham,3011,1,1,0,0,53,1888,-37.80376,144.89862,310000
Footscray,u,Sweeney,3011,1,1,1,0,52,1970,-37.7907,144.8924,227000
Footscray,u,Sweeney,3011,1,1,1,0,50,1970,-37.7907,144.8924,216000
Footscray,u,Biggin,3011,1,1,1,0,50,1920,-37.8006,144.881,375000
Footscray,u,Sweeney,3011,1,1,1,665,46,1970,-37.7978,144.8918,291000
Footscray,u,Trimson,3011,1,1,1,1015,46,1970,-37.78778,144.89037,240000
Footscray,u,Sweeney,3011,1,1,1,1783,42,1975,-37.7949,144.9007,282000
Footscray,u,Burnham,3011,2,1,1,47,35,2013,-37.8014,144.8959,305000
Footscray,u,Burnham,3011,1,1,0,30,26,2013,-37.80141,144.89587,170000
Footscray,t,Jas,3011,3,2,2,164,3,2008,-37.7948,144.8868,714000
Footscray,t,Jas,3011,3,1,1,219,3,2011,-37.796,144.8819,760000
West Footscray,h,Burnham,3012,2,1,2,161,700,1977,-37.7905,144.8714,495000
West Footscray,h,Douglas,3012,3,3,2,512,512,1920,-37.79487,144.86353,1060000
Maidstone,h,Jas,3012,3,1,2,327,463,1960,-37.79034,144.87916,825000
West Footscray,h,Brad,3012,3,1,1,353,360,1925,-37.7915,144.8733,756000
Maidstone,h,Biggin,3012,5,3,2,527,358,2009,-37.7746,144.8727,1350000
Kingsville,h,Jas,3012,3,2,2,275,282,1940,-37.80592,144.8807,1000000
West Footscray,h,Village,3012,4,2,2,523,244,1915,-37.798,144.8728,1435000
Kingsville,h,Village,3012,2,1,1,220,219,1890,-37.8068,144.8782,685000
West Footscray,h,Alexkarbon,3012,6,3,2,554,199,1940,-37.8053,144.8681,1020000
West Footscray,h,hockingstuart,3012,4,2,4,525,188,1930,-37.7994,144.8763,1325000
Maidstone,h,Rendina,3012,4,2,2,308,185,2012,-37.7833,144.8817,826000
Kingsville,h,Sweeney,3012,2,2,1,180,179,2011,-37.8115,144.8763,677200
West Footscray,h,Sweeney,3012,4,2,2,497,179,1980,-37.7903,144.8639,850000
Kingsville,h,Jas,3012,4,2,1,274,172,1910,-37.8078,144.8825,1275000
West Footscray,u,Sweeney,3012,4,2,1,0,171,1970,-37.809,144.8686,520000
West Footscray,u,Sweeney,3012,4,2,1,0,171,1970,-37.809,144.8686,530000
Kingsville,h,Village,3012,3,1,3,555,168,1940,-37.8083,144.8754,860000
West Footscray,h,Biggin,3012,3,1,1,412,162,1980,-37.7941,144.881,910000
Maidstone,t,Jas,3012,3,2,2,165,161,2007,-37.7773,144.8725,615000
West Footscray,h,Jas,3012,4,2,2,353,160,1935,-37.79175,144.87185,1230000
Brooklyn,h,hockingstuart,3012,2,1,2,780,156,1950,-37.8241,144.8419,1005000
Maidstone,t,Rendina,3012,3,2,2,262,153,2004,-37.78284,144.88098,895000
Maidstone,h,Biggin,3012,3,2,2,159,152,2010,-37.78974,144.88143,798000
Maidstone,t,Jas,3012,4,3,2,294,151,2014,-37.78133,144.86768,821000
Kingsville,h,Village,3012,4,2,2,373,150,1915,-37.8117,144.87925,1480000
West Footscray,h,Sweeney,3012,4,2,3,390,149,1950,-37.7926,144.8639,837000
West Footscray,t,Nelson,3012,3,1,2,255,148,2001,-37.8038,144.8679,620000
West Footscray,h,Biggin,3012,3,1,2,501,147,1960,-37.7912,144.868,860000
Maidstone,h,Burnham,3012,3,1,2,214,146,2007,-37.7798,144.8661,695000
Kingsville,h,Village,3012,3,2,2,275,145,1920,-37.8118,144.8801,1035000
Kingsville,h,hockingstuart,3012,4,1,1,318,145,1960,-37.8105,144.8803,1205000
West Footscray,h,Sweeney,3012,2,1,2,426,144,1930,-37.7919,144.8793,830000
West Footscray,h,Biggin,3012,4,1,2,528,143,1940,-37.7969,144.8647,970000
Brooklyn,u,hockingstuart,3012,2,1,2,159,140,2012,-37.82073,144.8447,515000
Kingsville,h,Greg,3012,3,2,0,277,137,1910,-37.80535,144.88297,1180000
Maidstone,h,Biggin,3012,4,1,2,333,137,1970,-37.7893,144.8818,773000
Maidstone,t,Jas,3012,3,2,2,186,134.6,2011,-37.78559,144.86483,710000
Kingsville,h,Jas,3012,3,2,0,272,132,1915,-37.8079,144.8825,1340000
West Footscray,h,Sweeney,3012,3,1,3,440,131,1950,-37.7937,144.8732,820000
West Footscray,h,Sweeney,3012,4,1,1,255,131,1920,-37.7906,144.8687,710000
Maidstone,h,Biggin,3012,2,1,2,327,131,1950,-37.78947,144.88105,865000
Maidstone,t,Jas,3012,3,2,2,189,131,2000,-37.78606,144.87205,702000
West Footscray,t,Jas,3012,3,2,2,125,131,2013,-37.80735,144.87361,700000
Kingsville,h,Village,3012,2,2,0,84,130,1900,-37.8058,144.8846,730000
West Footscray,h,Jas,3012,4,2,1,323,130,1945,-37.79429,144.87412,1276000
West Footscray,h,RW,3012,4,2,2,501,129,1960,-37.79591,144.87595,990000
Brooklyn,t,Jas,3012,3,2,2,244,129,2010,-37.82017,144.84904,663000
Maidstone,h,Burnham,3012,3,1,1,576,128,1970,-37.7808,144.8678,715000
Maidstone,t,Jas,3012,3,2,2,159,128,2016,-37.78502,144.86733,650000
Kingsville,h,Village,3012,3,1,0,276,128,1910,-37.80629,144.88062,1020000
Maidstone,t,Biggin,3012,3,2,2,159,128,2016,-37.785,144.8673,675000
Maidstone,t,Jas,3012,3,2,2,159,128,2016,-37.78502,144.86733,670000
West Footscray,h,Village,3012,3,1,1,397,127,1960,-37.7901,144.8682,878000
West Footscray,h,Village,3012,3,1,2,302,125,1938,-37.8066,144.8666,723000
Maidstone,h,Sweeney,3012,3,1,2,300,125,1950,-37.7896,144.8752,832000
Maidstone,t,Biggin,3012,3,2,2,147,125,2015,-37.78538,144.87959,722000
Maidstone,t,Sweeney,3012,3,2,1,156,124,2012,-37.7898,144.8722,695000
Kingsville,h,Jas,3012,2,2,2,269,123,1915,-37.8108,144.8819,1155000
West Footscray,h,Brad,3012,3,1,1,442,123,1950,-37.7914,144.8812,840000
West Footscray,h,Village,3012,3,2,1,342,123,1920,-37.79369,144.87511,1155000
Maidstone,h,Biggin,3012,3,1,2,427,123,1960,-37.77916,144.87998,830000
Kingsville,h,Jas,3012,3,2,0,275,122,1910,-37.81196,144.88209,1100000
Maidstone,h,Sweeney/Advantage,3012,2,2,1,239,121,1955,-37.7882,144.8784,721000
Maidstone,t,Biggin,3012,3,1,2,210,121,2012,-37.7869,144.8749,555000
Maidstone,h,Jas,3012,3,1,3,381,121,1940,-37.7874,144.8763,865000
West Footscray,u,Jas,3012,3,1,1,126,120,1995,-37.80962,144.86877,597000
West Footscray,h,Jas,3012,3,2,2,427,119,1936,-37.79105,144.87914,1100500
Maidstone,h,Compton,3012,3,2,1,335,118,1940,-37.7862,144.8798,875000
Kingsville,h,Jas,3012,4,1,0,276,118,1915,-37.80774,144.88251,1140000
Maidstone,h,Jas,3012,3,1,4,545,116,1940,-37.78571,144.87346,930000
West Footscray,h,Sweeney,3012,3,1,3,417,115,1950,-37.79139,144.86596,857500
Kingsville,h,Chambers,3012,3,1,1,350,114,1950,-37.8123,144.8805,760000
West Footscray,h,Sweeney,3012,2,1,2,401,113.81,1945,-37.7903,144.8703,888000
West Footscray,h,Jas,3012,3,1,2,347,113,1925,-37.8067,144.8761,967000
West Footscray,h,Jas,3012,4,1,1,219,113,1910,-37.79761,144.88053,832000
West Footscray,h,Sweeney,3012,4,1,2,536,113,1925,-37.7978,144.8743,1151500
West Footscray,h,Village,3012,3,1,2,460,112,1940,-37.80139,144.86458,900000
Maidstone,t,Jas,3012,2,2,1,145,112,2012,-37.7801,144.869,600000
West Footscray,h,Jas,3012,3,1,2,269,111,1910,-37.79638,144.87911,850000
Maidstone,h,Biggin,3012,3,1,1,167,110,2010,-37.78817,144.87873,735000
Kingsville,h,hockingstuart,3012,3,2,1,275,110,1910,-37.8085,144.88274,1170000
West Footscray,h,Jas,3012,3,1,2,422,109,1950,-37.79644,144.86388,845000
West Footscray,h,Jas,3012,3,1,2,417,109,1950,-37.79644,144.86388,870000
Maidstone,h,Sweeney,3012,3,1,5,653,109,1930,-37.78639,144.88214,1005000
Kingsville,h,Jas,3012,3,2,1,343,109,1920,-37.8066,144.8811,1336000
Maidstone,h,Biggin,3012,2,1,1,300,108,1950,-37.78842,144.88218,611500
Maidstone,h,Biggin,3012,3,1,2,285,107,1910,-37.7813,144.8678,673000
West Footscray,h,Biggin,3012,3,2,3,380,106.4,1945,-37.79194,144.87144,1100000
Kingsville,h,Village,3012,2,1,1,259,105,1940,-37.8046,144.8831,817000
Kingsville,h,Village,3012,3,1,1,276,105,1925,-37.8082,144.8828,1190000
West Footscray,u,Jas,3012,2,1,0,183,104,1930,-37.7968,144.8708,580000
Maidstone,t,Jas,3012,2,2,1,279,104,2013,-37.78799,144.87515,650000
West Footscray,h,Jas,3012,3,1,2,325,102,1925,-37.7922,144.8818,935000
West Footscray,h,Sweeney,3012,2,1,2,462,101,1960,-37.8009,144.8653,850000
Kingsville,h,Village,3012,3,1,1,275,100,1920,-37.8085,144.8802,925000
West Footscray,h,Village,3012,2,1,1,444,98,1940,-37.7933,144.876,912500
Maidstone,u,Biggin,3012,2,2,1,0,96,2017,-37.77813,144.87287,435000
West Footscray,h,hockingstuart,3012,3,1,3,448,96,1925,-37.7911,144.8821,913000
West Footscray,h,Jas,3012,3,1,2,390,96,1940,-37.79256,144.86715,870000
West Footscray,h,Jas,3012,3,1,3,372,96,1920,-37.796,144.8728,805000
Maidstone,t,Biggin,3012,2,2,1,126,95,2015,-37.78458,144.88106,642500
Maidstone,h,Jas,3012,2,1,2,270,95,1900,-37.7871,144.8791,646000
West Footscray,h,Hodges,3012,3,1,3,336,95,1950,-37.79613,144.86742,840000
West Footscray,h,Village,3012,3,1,1,267,95,1940,-37.8021,144.8629,770000
West Footscray,h,Hodges,3012,3,1,3,336,95,1950,-37.79613,144.86742,881000
West Footscray,h,Sweeney,3012,3,2,3,336,94,1910,-37.7995,144.8794,875000
Maidstone,h,Biggin,3012,3,1,2,523,93.82,1950,-37.78242,144.86955,681000
Maidstone,h,Jas,3012,3,1,2,306,91,1960,-37.7838,144.8724,490000
Maidstone,t,Sweeney,3012,2,1,2,118,91,2014,-37.787,144.8748,510000
